Sample ID,site,plot,plot.unq,replicate,n.treat,weevil,block,21_d13c,21_mg.c.gsoil,21_d15n,21_mg.n.gsoil,18_mg.c.gsoil,18_mg.n.gsoil,18_c.mg.m2,18_n.mg.m2,litter_kg_m2_mean,herb_kg_m2_mean,som_kg_m2_mean,litter_kg_m2_std.error,herb_kg_m2_std.error,som_kg_m2_std.error,pH2019,percent.moist2019,bd.cores.g.cm3.2021,bd.pits.g.cm3.2018,sum.13,sum.14,sum.21,numberwillow,numberother,totalnumber,willowstemdiam,otherstemdiam,totalstemdiam,plantcover,plantcover.std.error
e17c,East,17,17,c,8,NW,3,-26.77,7.2,-2.35,0.307634409,4.660157539,0.266952769,0.011650394,0.000667382,4.02325,0.037,0.038225,0.90677175,0.006622772,0.023091017,5.63,10.31,1.28,1.298,52.4,90.49357639,379.2,5,1,6,365.1107931,34.99239415,400.1031873,2.0825,0.122703912
e18a,East,18,18,a,0,W,3,-28.11,4.8,-1.88,0.333867661,4.6838721,0.2263881,0.01170968,0.00056597,2.342272727,0.018181818,0.002977273,0.634470113,0.004839362,0.002245312,5.78,9.42,1.2,1.434,57.9,95.81857593,48.3,5,1,6,109.3377131,85.19999277,194.5377058,1.555,0.079902284
e18b,East,18,18,b,0,W,3,-27.95,5.2,-1.84,0.32433366,4.9178895,0.3280001,0.012294724,0.00082,2.342272727,0.018181818,0.002977273,0.634470113,0.004839362,0.002245312,5.78,9.42,1.2,1.434,57.9,95.81857593,48.3,5,1,6,109.3377131,85.19999277,194.5377058,1.555,0.079902284
e18c,East,18,18,c,0,W,3,-28.23,4.8,-1.66,0.314546875,4.0050165,0.284242,0.010012541,0.000710605,2.342272727,0.018181818,0.002977273,0.634470113,0.004839362,0.002245312,5.78,9.42,1.2,1.434,57.9,95.81857593,48.3,5,1,6,109.3377131,85.19999277,194.5377058,1.555,0.079902284
w1a,West,1,19,a,0,NW,4,-28.17,6.3,-0.55,0.233545763,2.370239268,0.170567195,0.005925598,0.000426418,5.7635,0.0575,0.03425,1.54500374,0.013462912,0.009021964,5.75,16,1.53,1.449,100.1,194.6373729,415,6,0,6,473.4501866,0,473.4501866,2.45625,0.351718253
w1b,West,1,19,b,0,NW,4,-28.01,7.9,-0.95,0.211803509,3.03820875,0.214702625,0.007595522,0.000536757,5.7635,0.0575,0.03425,1.54500374,0.013462912,0.009021964,5.75,16,1.53,1.449,100.1,194.6373729,415,6,0,6,473.4501866,0,473.4501866,2.45625,0.351718253
w1c,West,1,19,c,0,NW,4,-27.88,7.7,-0.93,0.288043697,2.729118,0.19166325,0.006822795,0.000479158,5.7635,0.0575,0.03425,1.54500374,0.013462912,0.009021964,5.75,16,1.53,1.449,100.1,194.6373729,415,6,0,6,473.4501866,0,473.4501866,2.45625,0.351718253
w2a,West,2,20,a,8,NW,4,-27.82,4.9,-0.93,0.360687554,3.741732727,0.288635152,0.009354332,0.000721588,6.086,0.07625,0.039,1.013971236,0.012140669,0.01025508,5.56,15.91,1.55,1.321,150.6,298.2785145,577.4,7,1,8,669.4426069,17.87008587,687.3126927,2.714285714,0.273146194
w2b,West,2,20,b,8,NW,4,-28.05,6,-1.22,0.331059357,3.634578923,0.253053846,0.009086447,0.000632635,6.086,0.07625,0.039,1.013971236,0.012140669,0.01025508,5.56,15.91,1.55,1.321,150.6,298.2785145,577.4,7,1,8,669.4426069,17.87008587,687.3126927,2.714285714,0.273146194
w2c,West,2,20,c,8,NW,4,-28.24,5.6,-0.67,0.362075655,3.790436769,0.281233692,0.009476092,0.000703084,6.086,0.07625,0.039,1.013971236,0.012140669,0.01025508,5.56,15.91,1.55,1.321,150.6,298.2785145,577.4,7,1,8,669.4426069,17.87008587,687.3126927,2.714285714,0.273146194
